-1.20E-01,-6.33E-01
-8.86E-02,-6.49E-01
-5.47E-02,-6.76E-01
-1.77E-02,-6.96E-01
2.19E-02,-7.23E-01
5.78E-02,-7.45E-01
8.33E-02,-7.51E-01
9.68E-02,-7.55E-01
9.40E-02,-7.45E-01
7.17E-02,-7.29E-01
4.24E-02,-7.10E-01
5.29E-03,-6.90E-01
-3.56E-02,-6.67E-01
-7.46E-02,-6.50E-01
-1.04E-01,-6.39E-01
-1.25E-01,-6.37E-01
-1.34E-01,-6.42E-01
-1.25E-01,-6.60E-01
-1.07E-01,-6.75E-01
-6.90E-02,-7.03E-01
-3.18E-02,-7.20E-01
1.18E-02,-7.39E-01
4.94E-02,-7.50E-01
7.59E-02,-7.54E-01
9.30E-02,-7.46E-01
9.35E-02,-7.31E-01
8.05E-02,-7.11E-01
5.45E-02,-6.91E-01
2.01E-02,-6.68E-01
-1.98E-02,-6.50E-01
-5.97E-02,-6.42E-01
-9.50E-02,-6.38E-01
-1.21E-01,-6.45E-01
-1.34E-01,-6.61E-01
-1.31E-01,-6.81E-01
-1.12E-01,-7.03E-01
-8.34E-02,-7.24E-01
-4.48E-02,-7.39E-01
-3.99E-03,-7.48E-01
3.45E-02,-7.53E-01
6.70E-02,-7.44E-01
8.89E-02,-7.31E-01
9.63E-02,-7.12E-01
8.51E-02,-6.91E-01
6.33E-02,-6.66E-01
3.31E-02,-6.49E-01
-5.85E-03,-6.40E-01
-4.44E-02,-6.34E-01
-8.34E-02,-6.46E-01
-1.10E-01,-6.60E-01
-1.29E-01,-6.83E-01
-1.31E-01,-7.01E-01
-1.19E-01,-7.22E-01
-9.50E-02,-7.37E-01
-5.69E-02,-7.48E-01
-1.56E-02,-7.54E-01
2.48E-02,-7.45E-01
6.29E-02,-7.31E-01
8.19E-02,-7.15E-01
9.81E-02,-6.93E-01
8.93E-02,-6.70E-01
7.63E-02,-6.55E-01
4.71E-02,-6.45E-01
9.94E-03,-6.39E-01
-2.77E-02,-6.46E-01
-6.90E-02,-6.62E-01
-1.06E-01,-6.75E-01
-1.29E-01,-7.05E-01
-1.28E-01,-7.23E-01
-1.23E-01,-7.37E-01
-1.02E-01,-7.48E-01
-7.46E-02,-7.51E-01
-3.37E-02,-7.40E-01
7.61E-03,-7.28E-01
4.89E-02,-7.11E-01
7.49E-02,-6.92E-01
9.26E-02,-6.71E-01
9.49E-02,-6.56E-01
8.38E-02,-6.49E-01
5.87E-02,-6.45E-01
2.57E-02,-6.49E-01
-1.47E-02,-6.61E-01
-5.32E-02,-6.82E-01
-8.94E-02,-7.00E-01
-1.17E-01,-7.25E-01
-1.34E-01,-7.42E-01
-1.35E-01,-7.50E-01
-1.14E-01,-7.46E-01
-8.29E-02,-7.42E-01
-4.53E-02,-7.27E-01
-8.64E-03,-7.12E-01
3.13E-02,-6.89E-01
6.29E-02,-6.72E-01
8.93E-02,-6.55E-01
9.44E-02,-6.49E-01
8.79E-02,-6.46E-01
6.84E-02,-6.53E-01
3.50E-02,-6.66E-01
-2.60E-03,-6.85E-01
-3.93E-02,-6.99E-01
